FID,COUNTRY,ISO_CODE,ISO_CC,ISO_SUB,NUTS_ID,CNTR_CODE,EFAS_name,ID
611,Russian Federation,RUKDA,RU,KDA, , ,Krasnodyarskiy kray,584
612,Russian Federation,RUKDA,RU,KDA, , ,Krasnodyarskiy kray,585
613,Greece,GRXIII,GR,XIII, , ,Kriti,586
614,Greece,GRXIII,GR,XIII, , ,Kriti,587
615,Greece,GRXIII,GR,XIII, , ,Kriti,588
901, , , , ,EL43,EL,Kriti,1206
616,The Former Yugoslav Republic of Macedonia,MK44,MK,44, , ,Kriva Palanka,589
1682, , , , ,SE212,SE,Kronobergs lan,1705
617,Slovenia,SI054,SI,54, , ,Krsko,590
955, , , , ,PL61,PL,Kujawsko-Pomorskie,1260
618,Albania,AL7,AL,7, , ,Kukes,591
619,The Former Yugoslav Republic of Macedonia,MK47,MK,47, , ,Kumanovo,592
620,Russian Federation,RUKGN,RU,KGN, , ,Kurganskaya oblast,593
621,Russian Federation,RUKRS,RU,KRS, , ,Kurskaya oblast,594
1586, , , , ,LV003,LV,Kurzeme,1595
560,Georgia,GEKK,GE,KK, , ,Kvemo Kartli,525
622,Ukraine,UA30,UA,30, , ,Kyiv,595
623,Ukraine,UA32,UA,32, , ,Kyivska Oblast,596
1462, , , , ,FI1C4,FI,Kymenlaakso,1471
624,Bulgaria,BG10,BG,10, , ,Kyustendil,597
1348, , , , ,BG415,BG,Kyustendil,1348
627,Tunisia,TN14,TN,14, , ,La Manouba,601
1413, , , , ,ES230,ES,La Rioja,1420
1399, , , , ,EE004,EE,Laane-Eesti,1406
630,Estonia,EE57,EE,57, , ,Laanemaa,604
631,Estonia,EE57,EE,57, , ,Laanemaa,605
632,Estonia,EE57,EE,57, , ,Laanemaa,606
628,Estonia,EE59,EE,59, , ,Laane-Virumaa,602
629,Estonia,EE59,EE,59, , ,Laane-Virumaa,603
633,Algeria,DZ03,DZ,3, , ,Laghouat,607
965, , , , ,UKD4,UK,Lancashire,1293
1529, , , , ,FR613,FR,Landes,1538
339,France,FRK,FR,K, , ,Languedoc-Roussillon,608
634,France,FRK,FR,K, , ,Languedoc-Roussillon,609
340,Finland,FILS,FI,LS, , ,Lansi-Suomen laani,610
635,Finland,FILS,FI,LS, , ,Lansi-Suomen laani,611
636,Finland,FILS,FI,LS, , ,Lansi-Suomen laani,612
637,Finland,FILS,FI,LS, , ,Lansi-Suomen laani,613
638,Finland,FILL,FI,LL, , ,Lapin laani,614
639,Finland,FILL,FI,LL, , ,Lapin laani,615
640,Finland,FILL,FI,LL, , ,Lapin laani,616
1470, , , , ,FI1D7,FI,Lappi,1479
341,Moldova,MDLA,MD,LA, , ,Lapusna,617
625,Tunisia,TN12,TN,12, , ,LAriana,598
626,Tunisia,TN12,TN,12, , ,LAriana,599
641,Cyprus,CY03,CY,3, , ,Larnaka,618
1587, , , , ,LV005,LV,Latgale,1596
642,Italy,IT62,IT,62, , ,Lazio,619
643,Italy,IT62,IT,62, , ,Lazio,620
644,Italy,IT62,IT,62, , ,Lazio,621
929, , , , ,ITI4,IT,Lazio,1234
645,Tunisia,TN33,TN,33, , ,Le Kef,622
646,Cyprus,CY01,CY,1, , ,Lefkosia,623
647,Cyprus,CY01,CY,1, , ,Lefkosia,624
973, , , , ,UKF2,UK,"Leicestershire, Rutland and Northamptonshire",1301
0,Ireland,IEL,IE,L, , ,Leinster,57
63,Ireland,IEL,IE,L, , ,Leinster,58
64,Ireland,IEL,IE,L, , ,Leinster,59
885, , , , ,DED5,DE,Leipzig,1190
65,Portugal,PT10,PT,10, , ,Leiria,60
66,Portugal,PT10,PT,10, , ,Leiria,61
67,Portugal,PT10,PT,10, , ,Leiria,62
648,Cyprus,CY02,CY,2, , ,Lemesos,625
342,Slovenia,SI059,SI,59, , ,Lendava,626
